"link_id","from_node","to_node","lanes","max_speed","length","name","l_pocket","r_pocket","in_angle","out_angle","road_type"
"2420001000","1660010700","2420000100",3,60,124.7723,수변로,,,-74.0,-75.0,"000"
"2420002000","2420000600","1660026900",2,30,201.4234,장말로,,,10.0,,"000"
"2420002200","1660026900","2420000600",2,30,202.8452,장말로,,,188.0,190.0,"000"
"2420002500","2420000700","2420000200",2,50,166.6129,상일로,,,3.0,8.0,"000"
"2420002800","1660007600","2420000900",3,50,169.3458,부흥로,,,180.0,180.0,"000"
"2420002900","2420000800","2420000300",2,60,155.5765,부일로,,,2.0,4.0,"000"
"2420003000","2420000300","2420000800",2,60,155.3404,부일로,1,0,183.0,182.0,"000"
"2420003400","1660010700","2420001000",5,60,204.5489,길주로,,,180.0,180.0,"000"
"2420004500","2420000600","2420001500",2,30,162.7534,장말로,,,177.0,177.0,"000"
"2420005000","2420001700","2420000900",3,50,170.3762,부흥로,1,0,0.0,0.0,"000"
"2420005100","2420000900","2420001700",3,50,170.3765,부흥로,1,1,180.0,180.0,"000"
"2420005200","2420001400","2420001300",1,30,111.4897,계남로,,,80.0,81.0,"000"
"2420005300","2420000500","2420002200",2,60,280.7713,조마루로,,,179.0,173.0,"000"
"2420005700","2420001600","2420001500",2,50,272.2873,순환서로,,,-87.0,269.0,"000"
"2420006000","2420002600","2420000800",2,60,322.5501,부일로,,,-8.0,2.0,"000"
"2420006100","2420001500","2420001700",2,50,345.7377,순환서로,,,269.0,262.0,"000"
"2420006400","2420001900","2420001600",2,30,51.4477,상일로,,,0.0,0.0,"000"
"2420006600","2420001000","2420002500",2,60,281.493,길주로,,,174.0,174.0,"000"
"2420006700","2420002500","2420001000",3,60,281.49,길주로,,,-6.0,-6.0,"000"
"2420006800","2420002000","2420001900",2,30,272.9151,순환동로,,,88.0,91.0,"000"
"2420007100","2420002100","2420001700",3,50,57.751,부흥로,,,0.0,0.0,"000"
"2420007200","2420001700","2420002100",3,50,57.7538,부흥로,,,180.0,180.0,"000"
"2420007300","2420002100","2420002000",2,50,348.3479,순환동로,,,76.0,88.0,"000"
"2420007400","2420001700","2420002200",2,50,447.3799,순환서로,,,262.0,259.0,"000"
"2420007600","2420002000","2420002100",2,50,346.4013,순환동로,0,1,268.0,256.0,"000"
"2420007700","2420001300","2420003100",1,10,303.8141,계남로,,,175.0,175.0,"000"
"2420007900","2420003100","2420001300",1,10,295.9903,계남로,,,19.0,-6.0,"000"
"2420008200","2420001900","2420002700",2,50,132.5556,상일로,,,175.0,175.0,"000"
"2420008300","2420002700","2420001900",2,50,133.8458,상일로,,,-5.0,-5.0,"000"
"2420008400","2420002000","2420002800",2,30,133.5254,장말로,,,181.0,160.0,"000"
"2420008600","2420002400","2420002100",2,50,437.4933,순환동로,,,79.0,76.0,"000"
"2420008800","2420002200","2420002400",2,60,68.7767,조마루로,,,173.0,173.0,"000"
"2420008900","2420002500","2420002200",2,50,542.0369,순환서로,,,81.0,79.0,"000"
"2420009000","2420002400","2420002200",2,60,68.7733,조마루로,,,-7.0,-7.0,"000"
"2420009100","2420002100","2420002400",2,50,437.9826,순환동로,,,256.0,259.0,"000"
"2420009200","2420002900","2420002100",3,50,102.2552,부흥로,0,1,0.0,0.0,"000"
"2420009300","2420002100","2420002900",3,50,102.2526,부흥로,,,180.0,180.0,"000"
"2420009400","2420002200","2420002500",2,50,542.3037,순환서로,,,259.0,261.0,"000"
"2420009600","2420003800","2420001800",1,40,684.9415,서울외곽순환고속도로,,,-58.0,-82.0,"000"
"2420009700","2420002700","2420002600",2,50,306.1435,신상로,,,89.0,90.0,"000"
"2420009800","2420003000","2420002400",2,50,316.4347,순환동로,,,81.0,79.0,"000"
"2420009900","2420002800","2420002700",2,50,285.1779,신상로,,,92.0,89.0,"000"
"2420010000","2420002900","2420002800",2,50,346.8817,신상로,,,89.0,92.0,"000"
"2420010100","2420002600","2420002700",2,50,305.998,신상로,1,0,270.0,269.0,"000"
"2420010200","2420002400","2420003000",2,50,316.7846,순환동로,,,259.0,261.0,"000"
"2420010300","2420002700","2420002800",2,50,285.7088,신상로,,,269.0,-88.0,"000"
"2420010500","2420002800","2420002900",2,50,346.4133,신상로,,,-88.0,269.0,"000"
"2420010600","2420002300","2420003200",2,40,448.8742,서울외곽순환고속도로,,,241.0,246.0,"000"
"2420010700","2420003100","2420002500",4,50,462.5168,순환서로,,,80.0,81.0,"000"
"2420010800","2420002500","2420003200",2,60,66.6904,길주로,,,174.0,174.0,"000"
"2420010900","2420003200","2420002500",2,60,66.693,길주로,,,-6.0,-6.0,"000"
"2420011000","2420002500","2420003100",4,50,462.4185,순환서로,,,261.0,260.0,"000"
"2420011100","2420003300","2420002500",2,40,362.6728,서울외곽순환고속도로,,,64.0,67.0,"000"
"2420011300","2420002300","2420003300",4,100,799.3806,서울외곽순환고속도로,,,259.0,258.0,"000"
"2420011400","2420003000","2420003200",4,50,228.4064,순환동로,,,259.0,259.0,"000"
"2420011500","2420001000","2420005400",2,60,670.3321,길주로,,,175.0,178.0,"002"
"2420011600","2420005400","2420001000",2,60,671.4996,길주로,,,-1.0,-7.0,"002"
"2420011700","2420002600","2420003700",2,30,126.5192,부일로,,,180.0,177.0,"000"
"2420011800","2420003700","2420002600",2,30,127.3694,부일로,1,0,-3.0,0.0,"000"
"2420012000","2420003000","2420003600",2,50,85.1134,소향로,,,173.0,173.0,"000"
"2420012100","2420003600","2420003000",2,50,85.116,소향로,,,-7.0,-7.0,"000"
"2420012200","2420003400","2420003200",2,50,239.8395,순환동로,,,79.0,79.0,"000"
"2420012300","2420003500","2420003100",2,50,304.024,순환서로,0,1,80.0,80.0,"000"
"2420012400","2420003200","2420003300",2,40,356.8369,서울외곽순환고속도로,,,-90.0,269.0,"000"
"2420012700","2420003100","2420003900",2,50,76.5704,계남로,,,172.0,172.0,"000"
"2420012800","2420003900","2420003100",2,50,76.5724,계남로,,,-8.0,-8.0,"000"
"2420013000","2420003400","2420003900",2,50,219.4572,순환동로,,,259.0,259.0,"000"
"2420013600","2420002700","2420004800",2,30,297.7296,상일로,,,179.0,179.0,"000"
"2420013700","2420004800","2420002700",2,30,297.7291,상일로,,,-1.0,-1.0,"000"
"2420013900","2420002900","2420005000",3,50,296.9267,부흥로,,,180.0,179.0,"000"
"2420014000","2420005000","2420002900",3,50,297.247,부흥로,,,-1.0,0.0,"000"
"2420014100","2420003900","2420004200",2,50,305.1301,순환동로,,,259.0,259.0,"000"
"2420014200","2420003200","2420004500",3,60,221.1258,길주로,,,176.0,176.0,"000"
"2420014300","2420004500","2420003200",3,60,221.1253,길주로,3,0,-4.0,-4.0,"000"
"2420014400","2420002400","2420005300",2,30,401.0252,조마루로,,,169.0,173.0,"000"
"2420014500","2420005300","2420002400",2,30,400.2046,조마루로,,,-7.0,-11.0,"000"
"2420014602","2420003601","2420003600",2,30,61.0398,소향로13번길,0,1,80.0,80.0,"000"
"2420014701","2420003600","2420003601",2,30,61.0406,소향로13번길,,,260.0,260.0,"000"
"2420014800","2420003700","2420004600",2,60,171.4899,부일로,1,1,177.0,177.0,"000"
"2420015001","2420004100","2420004701",2,50,60.8098,길주로77번길,,,81.0,81.0,"000"
"2420015100","2420003600","2420005200",2,50,251.5416,소향로,,,173.0,173.0,"000"
"2420015300","2420005200","2420003600",2,50,251.5408,소향로,,,-7.0,-7.0,"000"
"2420015600","2420004500","2420004400",2,30,92.2228,-,,,77.0,77.0,"000"
"2420015900","2420004600","2420004900",1,20,78.257,-,,,89.0,142.0,"000"
"2420016000","2420003900","2420006400",2,30,317.7081,계남로,,,172.0,172.0,"000"
"2420016100","2420006400","2420003900",2,30,317.7077,계남로,,,-8.0,-8.0,"000"
"2420016200","2420004800","2420004600",2,60,320.5135,부일로191번길,,,89.0,89.0,"000"
"2420016300","2420004500","2420004700",2,50,83.0433,길주로77번길,,,257.0,257.0,"000"
"2420016500","2420004100","2420006100",2,50,253.4352,상동로117번길,,,175.0,175.0,"000"
"2420016600","2420006100","2420004100",2,50,253.4353,상동로117번길,,,-5.0,-5.0,"000"
"2420016700","2420004600","2420005100",1,20,102.7647,-,,,89.0,173.0,"000"
"2420017002","2420005201","2420005200",2,30,58.1495,소향로37번길,,,81.0,81.0,"000"
"2420017101","2420005200","2420005201",2,30,58.1494,소향로37번길,,,261.0,261.0,"000"
"2420017200","2420004500","2420005400",2,60,101.5353,길주로,0,1,176.0,176.0,"000"
"2420017400","2420005300","2420005000",2,30,375.1379,상동로,1,0,78.0,72.0,"000"
"2420017800","2420005000","2420005300",2,30,376.1074,상동로,1,1,252.0,258.0,"000"
"2420018000","2420004900","2420005800",1,20,124.6375,-,,,149.0,176.0,"000"
"2420018100","2420005100","2420005500",1,20,66.7489,-,,,173.0,176.0,"000"
"2420018200","2420005500","2420005100",1,20,65.9317,-,,,-4.0,-7.0,"000"
"2420018600","2420005600","2420005500",1,10,72.4413,부일로,,,84.0,84.0,"000"
