"ks_node_id","int_offset","int_asplit1","int_asplit2","int_asplit3","int_asplit4","int_asplit5","int_asplit6","int_asplit7","int_asplit8","int_bsplit1","int_bsplit2","int_bsplit3","int_bsplit4","int_bsplit5","int_bsplit6","int_bsplit7","int_bsplit8"
"2420000600",79,52,50,48,0,0,0,0,0,52,50,48,0,0,0,0,0
"2420000700",90,59,36,55,0,0,0,0,0,59,36,55,0,0,0,0,0
"2420000800",0,65,24,31,0,0,0,0,0,65,24,31,0,0,0,0,0
"2420000900",0,58,15,25,32,0,0,0,0,58,15,25,32,0,0,0,0
"2420001500",29,58,58,34,0,0,0,0,0,58,58,34,0,0,0,0,0
"2420001600",93,70,25,30,25,0,0,0,0,70,25,30,25,0,0,0,0
"2420002100",0,45,45,40,0,0,0,0,0,45,45,40,0,0,0,0,0
"2420002200",36,47,47,36,0,0,0,0,0,47,47,36,0,0,0,0,0
"2420002500",0,46,43,58,53,0,0,0,0,46,43,58,53,0,0,0,0
"2420002600",5,53,22,11,34,0,0,0,0,53,22,11,34,0,0,0,0
"2420002700",60,30,25,30,25,40,0,0,0,30,25,30,25,40,0,0,0
"2420002800",60,30,25,30,25,40,0,0,0,30,25,30,25,40,0,0,0
"2420002900",5,32,32,33,33,0,0,0,0,32,32,33,33,0,0,0,0
"2420003100",48,48,35,42,35,0,0,0,0,48,35,42,35,0,0,0,0
"2420004200",19,35,65,15,45,0,0,0,0,35,65,15,45,0,0,0,0
"2420004600",15,28,42,37,33,0,0,0,0,28,42,37,33,0,0,0,0
"2420004800",97,45,30,45,30,0,0,0,0,45,30,45,30,0,0,0,0
"2420005000",0,48,41,41,0,0,0,0,0,48,41,41,0,0,0,0,0
"2420005200",49,38,92,0,0,0,0,0,0,38,92,0,0,0,0,0,0
"2420005300",46,46,20,41,23,0,0,0,0,46,20,41,23,0,0,0,0
"2420005700",46,80,27,23,0,0,0,0,0,80,27,23,0,0,0,0,0
"2420006000",49,43,23,33,31,0,0,0,0,43,23,33,31,0,0,0,0
"2420006800",10,37,32,27,52,52,0,0,0,37,32,27,52,52,0,0,0
"2420007300",65,52,16,27,27,38,0,0,0,52,16,27,27,38,0,0,0
