"time","from_link","to_link","count"
0,"2420142603","2420153003",7.0
0,"2420142603","2420158000",130.0
0,"2420152604","2420158000",20.0
0,"2420152604","2420142501",1.0
0,"2420157501","2420229800",1.0
0,"2420157501","2420157502",59.0
0,"2420157802","2420163201",40.0
0,"2420157802","2420169700",4.0
0,"2420157802","2420158200",23.0
0,"2420158000","2420163201",23.0
0,"2420158000","2420157501",24.0
0,"2420158000","2420169700",110.0
0,"2420160800","2420162403",5.0
0,"2420160800","2420172000",47.0
0,"2420160800","2420167800",8.0
0,"2420162402","2420169700",19.0
0,"2420162402","2420157501",33.0
0,"2420162402","2420158200",17.0
0,"2420162403","2420230800",1.0
0,"2420162403","2420233000",1.0
0,"2420162403","2420162404",68.0
0,"2420162404","2420162402",71.0
0,"2420162404","2420230000",1.0
0,"2420162404","2420229400",1.0
0,"2420163201","2420229400",1.0
0,"2420163201","2420230000",1.0
0,"2420163201","2420163203",83.0
0,"2420163203","2420163204",83.0
0,"2420163203","2420230800",1.0
0,"2420163203","2420233000",1.0
300,"2420142603","2420158000",130.0
300,"2420142603","2420153003",7.0
300,"2420152604","2420158000",20.0
300,"2420152604","2420142501",1.0
300,"2420157501","2420157502",59.0
300,"2420157501","2420229800",1.0
300,"2420157802","2420169700",4.0
300,"2420157802","2420158200",23.0
300,"2420157802","2420163201",40.0
300,"2420158000","2420157501",24.0
300,"2420158000","2420163201",23.0
300,"2420158000","2420169700",110.0
300,"2420160800","2420167800",8.0
300,"2420160800","2420162403",5.0
300,"2420160800","2420172000",47.0
300,"2420162402","2420169700",19.0
300,"2420162402","2420158200",17.0
300,"2420162402","2420157501",33.0
300,"2420162403","2420233000",1.0
300,"2420162403","2420230800",1.0
300,"2420162403","2420162404",68.0
300,"2420162404","2420230000",1.0
300,"2420162404","2420229400",1.0
300,"2420162404","2420162402",71.0
300,"2420163201","2420230000",1.0
300,"2420163201","2420229400",1.0
300,"2420163201","2420163203",83.0
300,"2420163203","2420230800",1.0
300,"2420163203","2420233000",1.0
300,"2420163203","2420163204",83.0
